,Name,Link,Lyrics
0,Ride (Monologue),https://www.vagalume.com.br/lana-del-rey/ride-monologue.html,"I was in the winter of my life And the men that I met along the road were my only summer. At night, I fell asleep with visions of myself Dancing and laughing and crying with them. Three years down the line of being on an endless world tour And my memories of them were the only things that Substained me and my only real happy times. I was a singer, not a very popular one, Who one had dreams of becoming a beautiful poet - But upon an unfortunate series of events Saw those dreams dashed And divided like a millions stars in the night sky That I wished on over and over again - sparkling and broken. But I didn't really mind because I knew That it takes getting everything You ever wanted and then losing it To know what true freedom is. When the people I used to know Found out what I had been doing How I had been living - they asked me why. But there's no use in talking to people who have a home, They have no idea what it's like to seek safety I In other people, For home to be wherever you lie your head. I was always an unusual girl, My mother told me I had a chameleon soul. No morall compass pointing due north, no fixed personality. Just an inner indecisiveness That was as wide and as wavering as the ocean. And if I said that I didn't plan For it to turn out this was, I'd be lying - Because I was born to be the other woman. I belong to no one - who belonged to everyone, Who had nothing, who wanted everything With a fire for every experience And an obsession for freedom That terrified me to the point I couldn't even talk about - And pushed me to a nomatic point Of madness that both dazzled and dizzied me."" I've been out on that open road You can be my full time, daddy White and gold Singing blues has been getting old You can be my full time, baby Hot or cold Don't break me down I've been traveling too long I've been trying too hard With one pretty song I hear the birds on the summer breeze, I drive fast I am alone in the night Been trying hard not to get into trouble, but I I've got a war in my mind So, I just ride, I just ride I just ride, I just ride Dying young and I'm playing hard That's the way my father made his life an art Drink all day and we talk 'til dark That's the way the road doves do it, ride 'til dark Don't leave me now Don't say goodbye Don't turn around Leave me high and dry I hear the birds on the summer breeze, I drive fast I am alone in the night Been trying hard not to get into trouble, but I I've got a war in my mind I just ride, I just ride I just ride, I just ride I'm tired of feeling like I'm f*cking crazy I'm tired of driving 'til I see stars in my eyes I look up to hear myself saying ""Baby, too much I strive, I just ride"" I hear the birds on the summer breeze, I drive fast I am alone in the night Been trying hard not to get into trouble, but I I've got a war in my mind I just ride, I just ride I just ride, I just ride ""Every night I used to pray that I'd find my people - And finally I did - on the open road. We had nothing to lose, nothing to gain Nothing we desired anymore - Except to make our lives into a work of art. Live fast. Die young. Be wild, and have fun I believe in the country America used to be. I believe in the person I want to become. I believe in the freedom of the open road. And my motto is the same as ever - I believe in the kindness of strangers. And when I'm at war with myself - I ride. I just ride. Who are you? Are you in touch with all your darkest fantasies? Have you created a life for yourself where you're free to experience them? I have! I am fucking crazy, but I am free!"
1,Summertime Sadness,https://www.vagalume.com.br/lana-del-rey/summertime-sadness.html,"Kiss me hard before you go Summertime sadness I just wanted you to know That baby, you're the best I got my red dress on tonight Dancing in the dark in the pale moonlight Done my hair up real big beauty queen style High heels off, I'm feeling alive Oh, my God, I feel it in the air Telephone wires above are sizzling like a snare Honey I'm on fire, I feel it everywhere Nothing scares me anymore Kiss me hard before you go Summertime sadness I just wanted you to know That baby, you're the best I've got that summertime, summertime sadness S-s-summertime, summertime sadness Got that summertime, summertime sadness Oh, oh oh I'm feelin' electric tonight Cruising down the coast goin' 'bout 99 Got my bad baby by my heavenly side I know if I go, I'll die happy tonight Oh, my God, I feel it in the air Telephone wires above are sizzling like a snare Honey I'm on fire, I feel it everywhere Nothing scares me anymore Kiss me hard before you go Summertime sadness I just wanted you to know That baby, you're the best I've got that summertime, summertime sadness S-s-summertime, summertime sadness Got that summertime, summertime sadness Oh, oh oh I think I'll miss you forever Like the stars miss the sun in the morning skies Later's better than never Even if you're gone I'm gonna drive, drive I've got that summertime, summertime sadness S-s-summertime, summertime sadness Got that summertime, summertime sadness Oh, oh oh Kiss me hard before you go Summertime sadness I just wanted you to know That baby you're the best I've got that summertime, summertime sadness S-s-summertime, summertime sadness Got that summertime, summertime sadness Oh, oh oh</div>"
2,West Coast,https://www.vagalume.com.br/lana-del-rey/west-coast.html,"Down on the west coast They got a saying If you're not drinking Then you're not playing But you've got the music, you've got the music in you Don't you? Down on the west coast I get this feeling like it all could happen That's why I'm leaving you For the moment, you for the moment Boy blue, yeah you It's getting harder to show it I'm feeling hot to the touch You say you miss me And I always say I miss you so much Something keeps me real cold I'm alive, I'm a lush Your love, your love, your love I can see my baby swinging His Parliament's on fire when his hands are up On the balcony and I'm singing Ooh baby, ooh baby, I'm in love I can see my sweet boy swayin' He's crazy y Cubano como yo my love On the balcony and I'm singing Move baby, move baby, I'm in love I'm in love, I'm in love Down on the west coast They got their icons Their silver starlets Their queens of Saigon And you got the music, you got the music in you Don't you? Down on the west coast They love their movies Their golden dozen and rock'n'roll groupies And you got the music, you got the music in you Don't you? You push it hard I pull away I'm feeling hotter than fire I guess that no one ever really Made me feel that much higher Te deseo, cariño, boy it's you I desire Your love, your love, your love I can see my baby swinging His Parliament's on fire when his hands are up On the balcony and I'm singing Ooh baby, ooh baby, I'm in love I can see my sweet boy swayin' He's crazy y Cubano como yo my love On the balcony and I'm singing Move baby, move baby, I'm in love I can see my baby swinging His Parliament's on fire when his hands are up On the balcony and I'm singing Ooh baby, ooh baby, I'm in love I can see my sweet boy swayin' He's crazy y Cubano como yo my love On the balcony and I'm singing Move baby, move baby, I'm in love I'm in love I'm in love</div>"
3,Born To Die,https://www.vagalume.com.br/lana-del-rey/born-to-die.html,"Feet don't fail me now Take me to the finish line Oh my heart it breaks every step that I take But I'm hoping at the gates They'll tell me that you're mine Walking through the city streets Is it by mistake or desire? I feel so alone on a Friday night Can you make it feel like home If I tell you you're mine It's like I told you honey Don't make me sad, don't make me cry Sometimes love is not enough And the road gets tough I don't know why Keep making me laugh, Let's go get high The road is long, we carry on Try to have fun in the meantime Come and take a walk on the wild side Let me kiss you hard in the pouring rain You like your girls insane Choose your last words This is the last time Cause you and I We were born to die Lost but now I am found I can see but once I was blind I was so confused as a little child Tried to take what I could get Scared that I couldn't find All the answers honey Don't make me sad, don't make me cry Sometimes love is not enough And the road gets tough I don't know why Keep making me laugh Let's go get high The road's long, we carry on Try to have fun in the meantime Come and take a walk on the wild side Let me kiss you hard in the pouring rain You like your girls insane Choose your last words, This is the last time Cause you and I We were born to die We were born to die We were born to die Come and take a walk on the wild side Let me kiss you hard in the pouring rain You like your girls insane Don't make me sad, don't make me cry Sometimes love is not enough And the road gets tough I don't know why Keep making me laugh, Let's go get high The road is long, we carry on Try to have fun in the meantime Come and take a walk on the wild side Let me kiss you hard in the pouring rain You like your girls insane Choose your last words This is the last time Cause You and I We were born to die We were born to die</div>"
4,Video Games,https://www.vagalume.com.br/lana-del-rey/video-games.html,"Swinging in the backyard Pull up in your fast car Whistling my name Open up a beer And you take it over here And play a video game I'm in his favorite sun dress Watching me get undressed Take that body downtown I say you the bestest Lean in for a big kiss Put his favorite perfume on Go play a video game It's you, it's you, it's all for you Everything I do I tell you all the time Heaven is a place on earth with you Tell me all the things you want to do I heard that you like the bad girls Honey, is that true? It's better than I ever even knew They say that the world was built for two Only worth living if somebody is loving you Baby now you do Singing in the old bars Swinging with the old stars Living for the fame Kissing in the blue dark Playing pool and wild darts Video games He holds me in his big arms Drunk and I am seeing stars This is all I think of Watching all our friends fall In and out of Old Paul's This is my idea of fun Playing video games It's you, it's you, it's all for you Everything I do I tell you all the time Heaven is a place on earth with you Tell me all the things you want to do I heard that you like the bad girls Honey, is that true? It's better than I ever even knew They say that the world was built for two Only worth living if somebody is loving you Baby now you do (Now you do) It's you, it's you, it's all for you Everything I do I tell you all the time Heaven is a place on earth with you Tell me all the things you want to do I heard that you like the bad girls Honey, is that true? It's better than I ever even knew They say that the world was built for two Only worth living if somebody is loving you Baby now you do (now you do, now you do) now you do (now you do, now you do, now you do)</div>"
5,Norman Fucking Rockwell,https://www.vagalume.com.br/lana-del-rey/norman-fucking-rockwell.html,"Goddamn, man-child You fucked me so good that I almost said ""I love you"" You're fun and you're wild But you don't know the half of the shit That you put me through Your poetry's bad and you blame the news But I can't change that And I can't change your mood, ah 'Cause you're just a man It's just what you do Your head in your hands As you color me blue Yeah, you're just a man All through and through Your head in your hands As you color me blue Blue, blue, blue Goddamn, man-child You act like a kid even though you stand six foot two Self-loathing poet, resident Laurel Canyon know-it-all You talk to the walls when the party gets bored of you But I don't get bored, I just see you through Why wait for the best when I could have you? You? 'Cause you're just a man It's just what you do Your head in your hands As you color me blue Yeah, you're just a man All through and through Your head in your hands As you color me blue Blue, blue You make me blue Blue, blue Blue, blue, blue Blue, blue, blue</div>"
6,Young And Beautiful,https://www.vagalume.com.br/lana-del-rey/young-and-beautiful.html,"I've seen the world, done it all Had my cake now Diamonds, brilliant And Bel-Air now Hot summer nights mid July When you and I were forever wild The crazy days, the city lights The way you'd play with me like a child Will you still love me When I'm no longer young and beautiful Will you still love me When I got nothing but my aching soul I know you will, I know you will I know that you will Will you still love me When I'm no longer beautiful I've seen the world, lit it up As my stage now Channeling angels in The new age now Hot summer days, rock and roll The way you'd play for me at your show And all the ways I got to know Your pretty face and electric soul Will you still love me When I'm no longer young and beautiful Will you still love me When I got nothing but my aching soul I know you will, I know you will I know that you will Will you still love me When I'm no longer beautiful Dear Lord when I get to heaven Please let me bring my man When he comes tell me that you'll let him in Father tell me if you can Oh that grace, oh that body Oh that face, makes me wanna party He's my sun, he makes me shine like diamonds Will you still love me When I'm no longer young and beautiful Will you still love me When I got nothing but my aching soul I know you will, I know you will I know that you will Will you still love me When I'm no longer beautiful Will you still love me When I'm no longer beautiful Will you still love me When I'm not young and beautiful</div>"
7,You Can Be The Boss,https://www.vagalume.com.br/lana-del-rey/you-can-be-the-boss.html,"You taste like the fourth of july Malt liquor on your breath, my, my I love you but I don't know why You can be the boss, daddy You can be the boss Taste like a keg party, back on the sauce I like you a lot, I like you a lot Don't let it stop You can be the boss, daddy You can be the boss Back to the bones, sick as a dog You know that I like, like you a lot Don't let it stop He had a cigarette with his number on it He gave it over to me, ""do you want it?"" I knew it was wrong but I palmed it I saved it, I waited, I called it The liquor on your lips, the liquor on your lips The liquor on your lips makes you dangerous I knew it was wrong, I'm beyond it I tried to be strong but I lost it. You taste like the fourth of july Malt liquor on your breath, my, my You can be the boss, daddy You can be the boss Taste like a keg party, back on the sauce I like you a lot, I like you a lot Don't let it stop You can be the boss, daddy You can be the boss Back to the bones, sick as a dog You know that I like, like you a lot Don't let it stop He has a white corvette like I want it A fire in his eyes, no, I saw it He's bleeding from his brain and his wallet He's sick and he's taken but honest The liquor on your lips, the liquor on your lips The liquor on his lips I just can't resist As close as I'll get to the darkness He tells me to ""shut up, I got this."" You taste like the fourth of july Malt liquor on your breath, my, my You can be the boss, daddy You can be the boss Taste like a keg party, back on the sauce I like you a lot, I like you a lot Don't let it stop You can be the boss, daddy You can be the boss Back to the bones, sick as a dog You know that I like, like you a lot Don't let it stop I need you, I need you baby Like I never needed anyone You're wrong but you're so much fun You say you treat 'em mean to keep 'em keen, You're not that nice But you taste like the fourth of july Malt liquor on your breath, my, my You can be the boss, daddy You can be the boss Taste like a keg party, back on the sauce I like you a lot, I like you a lot Don't let it stop You can be the boss, daddy You can be the boss Back to the bones, sick as a dog You know that I like, like you a lot Don't let it stop Don't lei it stop</div>"
8,Brooklyn Baby,https://www.vagalume.com.br/lana-del-rey/brooklyn-baby.html,"They say I'm too young to love you I don't know what I need They think I don't understand The freedom land of the seventies I think I'm too cool to know ya You say I'm like the ice I freeze I'm churning out novels like Beat poetry on Amphetamines I say, I say Well, my boyfriend's in the band He plays guitar while I sing Lou Reed I've got feathers in my hair I get down to Beat poetry And my jazz collection's rare I can play most anything I'm a Brooklyn baby I'm a Brooklyn baby They say I'm too young to love you You say I'm too dumb to see They judge me like a picture book By the colors, like they forgot to read I think we're like fire and water I think we're like the wind and sea You're burning up, I'm cooling down You're up, I'm down You're blind, I see But I'm free, I'm free Well, my boyfriend's in the band He plays guitar while I sing Lou Reed I've got feathers in my hair I get down to Beat poetry And my jazz collection's rare I can play most anything I'm a Brooklyn baby I'm a Brooklyn baby I'm talking about my generation Talking about that newer nation And if you don't like it You can beat it Beat it, baby You never liked the way I said it If you don't get it, then forget it So I don't have to fucking explain it And my boyfriend's in the band He plays guitar while I sing Lou Reed I've got feathers in my hair I get high on hydroponic weed And my jazz collection's rare I get down to beat poetry I'm a Brooklyn baby I'm a Brooklyn baby Yeah my boyfriend's pretty cool But he's not as cool as me Cause I'm a Brooklyn baby I'm a Brooklyn baby</div>"
9,Lust For Life (Feat. The Weeknd),https://www.vagalume.com.br/lana-del-rey/lust-for-life-feat-the-weeknd.html,"Climb up the H of the Hollywood sign, yeah In these stolen moments, the world is mine (duwop, duwop) There's nobody here, just us together (shuwop, shuwop) Keepin' me hot like July forever 'Cause we're the masters of our own fate We're the captains of our own souls There's no way for us to come away 'Cause boy we're gold, boy we're gold And I was like Take off, take off Take off all your clothes Take off, take off Take off all your clothes Take off, take off Take off all of your clothes They say only the good die young That just ain't right 'Cause we're having too much fun Too much fun tonight, yeah In a lust for life, in a lust for life In a lust for life, in a lust for life Keeps us alive, keeps us alive Keeps us alive, keeps us alive In a lust for life, in a lust for life In a lust for life, in a lust for life Keeps us alive, keeps us alive Keeps us alive, keeps us alive Then, we dance on the H of the Hollywood sign, yeah 'Til we run out of breath Gotta dance 'til we die (duwop, duwop) My boyfriend's back And he's cooler than ever (shuwop, shuwop) There's no more night, blue skies forever 'Cause we're the masters of our own fate We're the captains of our own souls So there's no need for us to hesitate We're all alone, let's take control And I was like Take off, take off Take off all your clothes Take off, take off Take off all your clothes Take off, take off Take off all of your clothes They say only the good die young That just ain't right 'Cause we're having too much fun Too much fun tonight, yeah In a lust for life, in a lust for life In a lust for life, in a lust for life Keeps us alive, keeps us alive Keeps us alive, keeps us alive In a lust for life, in a lust for life In a lust for life, in a lust for life Keeps us alive, keeps us alive Keeps us alive, keeps us alive My boyfriend's back, and he's cooler than ever There's no more night, blue skies forever I told you twice in our love letter There's no stopping now, green lights forever And I was like Take off, take off Take off all your clothes Take off, take off Take off all your clothes Take off, take off Take off all of your clothes In a lust for life, in a lust for life In a lust for life, in a lust for life Keeps us alive, keeps us alive Keeps us alive, keeps us alive In a lust for life, in a lust for life In a lust for life, in a lust for life Keeps us alive, keeps us alive Keeps us alive, keeps us alive</div>"
